function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_renameat	c:@F@p101_renameat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h	yes	yes	yes	renameat	c:@F@renameat
p101_rewinddir	c:@F@p101_rewinddir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	rewinddir	c:@F@rewinddir
p101_rmdir	c:@F@p101_rmdir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	rmdir	c:@F@rmdir
p101_scandir	c:@F@p101_scandir	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h	yes	yes	yes	scandir	c:@F@scandir
p101_seekdir	c:@F@p101_seekdir	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/dirent.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_dirent.h	yes	yes	yes	seekdir	c:@F@seekdir
p101_stat	c:@F@p101_stat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	stat	c:@F@stat
p101_statvfs	c:@F@p101_statvfs	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/statvfs.c	libraries/lib_posix/include/p101_posix/sys/p101_statvfs.h	yes	yes	yes	statvfs	c:@F@statvfs
p101_symlink	c:@F@p101_symlink	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	symlink	c:@F@symlink
p101_symlinkat	c:@F@p101_symlinkat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	symlinkat	c:@F@symlinkat
p101_sync	c:@F@p101_sync	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/unistd.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_unistd.h	yes	yes	yes	sync	c:@F@sync
p101_telldir	c:@F@p101_telldir	XSI	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix_xsi/src/dirent.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_dirent.h	yes	yes	yes	telldir	c:@F@telldir
p101_truncate	c:@F@p101_truncate	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	truncate	c:@F@truncate
p101_umask	c:@F@p101_umask	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	umask	c:@F@umask
p101_unlink	c:@F@p101_unlink	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	unlink	c:@F@unlink
p101_unlinkat	c:@F@p101_unlinkat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	unlinkat	c:@F@unlinkat
p101_utimensat	c:@F@p101_utimensat	POSIX	libraries/lib_filesystem/src/filesystem.c	libraries/lib_filesystem/include/p101_filesystem/filesystem.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h	yes	yes	yes	utimensat	c:@F@utimensat
